day,H,D,R,T,Iso,L,M,S
0,4999,1,0,0,0,0,0,0
1,4999,1,0,0,0,1,0,0
2,4998,2,0,0,0,2,0,0
3,4998,2,0,0,0,2,0,0
4,4997,3,0,0,0,3,0,0
5,4997,3,0,0,1,3,0,0
6,4996,4,0,0,1,4,0,0
7,4995,5,0,0,2,4,1,0
8,4995,5,0,0,2,4,1,0
9,4995,5,0,0,3,4,1,0
10,4995,5,0,0,3,4,1,0
11,4995,5,0,0,4,4,1,0
12,4995,4,1,0,4,3,1,0
13,4993,6,1,0,4,5,1,0
14,4992,7,1,0,4,6,1,0
15,4992,7,1,0,4,6,1,0
16,4992,6,2,0,3,5,1,0
17,4992,6,2,0,3,5,1,0
18,4991,6,3,0,4,5,1,0
19,4991,5,4,0,4,4,1,0
20,4991,5,4,0,4,4,1,0
21,4991,5,4,0,4,4,1,0
22,4990,6,4,0,4,5,1,0
23,4990,5,5,0,4,5,0,0
24,4990,5,5,0,4,5,0,0
25,4990,5,5,0,4,5,0,0
26,4990,5,5,0,4,5,0,0
27,4990,5,5,0,5,5,0,0
28,4990,3,7,0,3,3,0,0
29,4990,2,8,0,2,2,0,0
30,4990,2,8,0,2,2,0,0
31,4990,2,8,0,2,2,0,0
32,4990,2,8,0,2,2,0,0
33,4990,1,9,0,1,1,0,0
34,4990,0,10,0,0,0,0,0
35,4990,0,10,0,0,0,0,0
36,4990,0,10,0,0,0,0,0
37,4990,0,10,0,0,0,0,0
38,4990,0,10,0,0,0,0,0
39,4990,0,10,0,0,0,0,0
40,4990,0,10,0,0,0,0,0
41,4990,0,10,0,0,0,0,0
42,4990,0,10,0,0,0,0,0
43,4990,0,10,0,0,0,0,0
44,4990,0,10,0,0,0,0,0
45,4990,0,10,0,0,0,0,0
46,4990,0,10,0,0,0,0,0
47,4990,0,10,0,0,0,0,0
48,4990,0,10,0,0,0,0,0
49,4990,0,10,0,0,0,0,0
50,4990,0,10,0,0,0,0,0
51,4990,0,10,0,0,0,0,0
52,4990,0,10,0,0,0,0,0
53,4990,0,10,0,0,0,0,0
54,4990,0,10,0,0,0,0,0
55,4990,0,10,0,0,0,0,0
56,4990,0,10,0,0,0,0,0
57,4990,0,10,0,0,0,0,0
58,4990,0,10,0,0,0,0,0
59,4990,0,10,0,0,0,0,0
60,4990,0,10,0,0,0,0,0
61,4990,0,10,0,0,0,0,0
62,4990,0,10,0,0,0,0,0
63,4990,0,10,0,0,0,0,0
64,4990,0,10,0,0,0,0,0
65,4990,0,10,0,0,0,0,0
66,4990,0,10,0,0,0,0,0
67,4990,0,10,0,0,0,0,0
68,4989,1,10,0,0,1,0,0
69,4989,1,10,0,0,1,0,0
70,4989,1,10,0,0,1,0,0
71,4989,1,10,0,0,1,0,0
72,4989,1,10,0,0,1,0,0
73,4989,1,10,0,1,1,0,0
74,4989,1,10,0,1,1,0,0
75,4989,1,10,0,1,1,0,0
76,4989,1,10,0,1,1,0,0
77,4989,1,10,0,1,1,0,0
78,4989,0,11,0,0,0,0,0
79,4989,0,11,0,0,0,0,0
80,4989,0,11,0,0,0,0,0
81,4989,0,11,0,0,0,0,0
82,4989,0,11,0,0,0,0,0
83,4989,0,11,0,0,0,0,0
84,4989,0,11,0,0,0,0,0
85,4989,0,11,0,0,0,0,0
86,4989,0,11,0,0,0,0,0
87,4989,0,11,0,0,0,0,0
88,4989,0,11,0,0,0,0,0
89,4989,0,11,0,0,0,0,0
90,4989,0,11,0,0,0,0,0
91,4989,0,11,0,0,0,0,0
92,4989,0,11,0,0,0,0,0
93,4989,0,11,0,0,0,0,0
94,4989,0,11,0,0,0,0,0
95,4989,0,11,0,0,0,0,0
96,4989,0,11,0,0,0,0,0
97,4989,0,11,0,0,0,0,0
98,4989,0,11,0,0,0,0,0
99,4989,0,11,0,0,0,0,0
100,4989,0,11,0,0,0,0,0
101,4989,0,11,0,0,0,0,0
102,4989,0,11,0,0,0,0,0
103,4989,0,11,0,0,0,0,0
104,4989,0,11,0,0,0,0,0
105,4989,0,11,0,0,0,0,0
106,4989,0,11,0,0,0,0,0
107,4989,0,11,0,0,0,0,0
108,4989,0,11,0,0,0,0,0
109,4989,0,11,0,0,0,0,0
110,4989,0,11,0,0,0,0,0
