day,H,D,R,T,Iso,L,M,S
0,4999,1,0,0,0,0,0,0
1,4997,3,0,0,0,2,0,1
2,4997,3,0,0,0,2,0,1
3,4996,4,0,0,0,3,0,1
4,4995,5,0,0,0,4,0,1
5,4994,6,0,0,1,5,0,1
6,4992,8,0,0,3,7,0,1
7,4992,8,0,0,3,7,0,1
8,4991,9,0,0,4,8,0,1
9,4991,9,0,0,5,8,0,1
10,4990,10,0,0,6,9,0,1
11,4990,10,0,0,8,9,0,1
12,4989,11,0,0,8,10,0,1
13,4989,11,0,0,9,10,0,1
14,4989,10,1,0,8,10,0,0
15,4989,9,2,0,8,9,0,0
16,4989,9,2,0,8,9,0,0
17,4988,8,4,0,7,8,0,0
18,4988,7,5,0,6,7,0,0
19,4988,4,5,3,3,4,0,0
20,4987,5,5,3,3,5,0,0
21,4987,4,6,3,2,4,0,0
22,4987,3,7,3,2,3,0,0
23,4987,3,7,3,2,3,0,0
24,4987,2,7,4,1,2,0,0
25,4986,3,7,4,2,3,0,0
26,4985,4,7,4,2,4,0,0
27,4985,4,7,4,2,4,0,0
28,4985,4,7,4,2,4,0,0
29,4985,4,7,4,2,4,0,0
30,4985,4,7,4,3,4,0,0
31,4985,3,8,4,3,3,0,0
32,4985,3,8,4,3,3,0,0
33,4983,5,8,4,3,5,0,0
34,4983,5,8,4,3,5,0,0
35,4983,4,9,4,2,4,0,0
36,4983,3,10,4,1,3,0,0
37,4983,2,11,4,0,2,0,0
38,4983,2,11,4,2,2,0,0
39,4982,3,11,4,2,3,0,0
40,4982,3,11,4,2,3,0,0
41,4982,3,11,4,2,3,0,0
42,4982,3,11,4,2,3,0,0
43,4982,3,11,4,2,3,0,0
44,4981,4,11,4,3,4,0,0
45,4981,4,11,4,3,4,0,0
46,4981,4,11,4,3,4,0,0
47,4981,4,11,4,3,4,0,0
48,4981,2,13,4,1,2,0,0
49,4981,1,14,4,1,1,0,0
50,4981,1,14,4,1,1,0,0
51,4981,1,14,4,1,1,0,0
52,4981,1,14,4,1,1,0,0
53,4981,1,14,4,1,1,0,0
54,4981,1,14,4,1,1,0,0
55,4981,1,14,4,1,1,0,0
56,4981,1,14,4,1,1,0,0
57,4980,2,14,4,1,2,0,0
58,4980,2,14,4,1,2,0,0
59,4980,2,14,4,1,2,0,0
60,4980,1,15,4,0,1,0,0
61,4980,1,15,4,0,1,0,0
62,4980,1,15,4,1,1,0,0
63,4980,1,15,4,1,1,0,0
64,4980,1,15,4,1,1,0,0
65,4980,1,15,4,1,1,0,0
66,4980,1,15,4,1,1,0,0
67,4980,1,15,4,1,1,0,0
68,4980,1,15,4,1,1,0,0
69,4980,1,15,4,1,1,0,0
70,4980,1,15,4,1,1,0,0
71,4979,2,15,4,1,2,0,0
72,4979,2,15,4,1,2,0,0
73,4979,1,16,4,0,1,0,0
74,4979,1,16,4,0,1,0,0
75,4979,1,16,4,0,1,0,0
76,4979,1,16,4,1,1,0,0
77,4979,1,16,4,1,1,0,0
78,4979,1,16,4,1,1,0,0
79,4979,1,16,4,1,1,0,0
80,4979,1,16,4,1,1,0,0
81,4979,1,16,4,1,1,0,0
82,4979,1,16,4,1,1,0,0
83,4979,1,16,4,1,1,0,0
84,4979,1,16,4,1,1,0,0
85,4979,0,17,4,0,0,0,0
86,4979,0,17,4,0,0,0,0
87,4979,0,17,4,0,0,0,0
88,4979,0,17,4,0,0,0,0
89,4979,0,17,4,0,0,0,0
90,4979,0,17,4,0,0,0,0
91,4979,0,17,4,0,0,0,0
92,4979,0,17,4,0,0,0,0
93,4979,0,17,4,0,0,0,0
94,4979,0,17,4,0,0,0,0
95,4979,0,17,4,0,0,0,0
96,4979,0,17,4,0,0,0,0
97,4979,0,17,4,0,0,0,0
98,4979,0,17,4,0,0,0,0
99,4979,0,17,4,0,0,0,0
100,4979,0,17,4,0,0,0,0
101,4979,0,17,4,0,0,0,0
102,4979,0,17,4,0,0,0,0
103,4979,0,17,4,0,0,0,0
104,4979,0,17,4,0,0,0,0
105,4979,0,17,4,0,0,0,0
106,4979,0,17,4,0,0,0,0
107,4979,0,17,4,0,0,0,0
108,4979,0,17,4,0,0,0,0
109,4979,0,17,4,0,0,0,0
110,4979,0,17,4,0,0,0,0
