day,H,D,R,T,Iso,L,M,S
0,4990,10,0,0,0,0,0,0
1,4990,10,0,0,0,10,0,0
2,4989,11,0,0,0,11,0,0
3,4988,12,0,0,0,12,0,0
4,4988,12,0,0,0,12,0,0
5,4988,12,0,0,10,12,0,0
6,4988,12,0,0,10,12,0,0
7,4986,14,0,0,11,14,0,0
8,4986,14,0,0,12,14,0,0
9,4986,14,0,0,12,14,0,0
10,4986,11,3,0,9,11,0,0
11,4985,10,5,0,7,9,1,0
12,4984,11,5,0,9,9,2,0
13,4983,11,6,0,8,9,2,0
14,4983,9,8,0,6,7,2,0
15,4982,6,12,0,2,4,2,0
16,4982,6,12,0,3,4,2,0
17,4982,6,12,0,4,4,2,0
18,4982,6,12,0,5,4,2,0
19,4982,6,12,0,5,4,2,0
20,4982,4,14,0,4,2,2,0
21,4982,3,14,1,3,2,1,0
22,4982,3,14,1,3,2,1,0
23,4982,2,15,1,2,2,0,0
24,4981,3,15,1,2,2,1,0
25,4981,3,15,1,2,2,1,0
26,4981,3,15,1,2,2,1,0
27,4981,3,15,1,2,2,1,0
28,4981,2,16,1,1,1,1,0
29,4981,1,17,1,1,0,1,0
30,4980,2,17,1,1,1,1,0
31,4980,2,17,1,1,1,1,0
32,4980,2,17,1,1,1,1,0
33,4980,2,17,1,1,1,1,0
34,4980,2,17,1,1,1,1,0
35,4980,2,17,1,2,1,1,0
36,4980,2,17,1,2,1,1,0
37,4980,2,17,1,2,1,1,0
38,4980,1,18,1,1,1,0,0
39,4980,1,18,1,1,1,0,0
40,4980,1,18,1,1,1,0,0
41,4980,1,18,1,1,1,0,0
42,4980,1,18,1,1,1,0,0
43,4980,0,19,1,0,0,0,0
44,4980,0,19,1,0,0,0,0
45,4980,0,19,1,0,0,0,0
46,4980,0,19,1,0,0,0,0
47,4980,0,19,1,0,0,0,0
48,4980,0,19,1,0,0,0,0
49,4980,0,19,1,0,0,0,0
50,4980,0,19,1,0,0,0,0
51,4980,0,19,1,0,0,0,0
52,4980,0,19,1,0,0,0,0
53,4980,0,19,1,0,0,0,0
54,4980,0,19,1,0,0,0,0
55,4980,0,19,1,0,0,0,0
56,4980,0,19,1,0,0,0,0
57,4980,0,19,1,0,0,0,0
58,4980,0,19,1,0,0,0,0
59,4980,0,19,1,0,0,0,0
60,4980,0,19,1,0,0,0,0
61,4980,0,19,1,0,0,0,0
62,4980,0,19,1,0,0,0,0
63,4980,0,19,1,0,0,0,0
64,4980,0,19,1,0,0,0,0
65,4980,0,19,1,0,0,0,0
66,4980,0,19,1,0,0,0,0
67,4980,0,19,1,0,0,0,0
68,4980,0,19,1,0,0,0,0
69,4980,0,19,1,0,0,0,0
70,4980,0,19,1,0,0,0,0
71,4980,0,19,1,0,0,0,0
72,4980,0,19,1,0,0,0,0
73,4980,0,19,1,0,0,0,0
74,4980,0,19,1,0,0,0,0
75,4980,0,19,1,0,0,0,0
76,4980,0,19,1,0,0,0,0
77,4980,0,19,1,0,0,0,0
78,4980,0,19,1,0,0,0,0
79,4980,0,19,1,0,0,0,0
80,4980,0,19,1,0,0,0,0
81,4980,0,19,1,0,0,0,0
82,4980,0,19,1,0,0,0,0
83,4980,0,19,1,0,0,0,0
84,4980,0,19,1,0,0,0,0
85,4980,0,19,1,0,0,0,0
86,4980,0,19,1,0,0,0,0
87,4980,0,19,1,0,0,0,0
88,4980,0,19,1,0,0,0,0
89,4980,0,19,1,0,0,0,0
90,4980,0,19,1,0,0,0,0
91,4980,0,19,1,0,0,0,0
92,4980,0,19,1,0,0,0,0
93,4980,0,19,1,0,0,0,0
94,4980,0,19,1,0,0,0,0
95,4980,0,19,1,0,0,0,0
96,4980,0,19,1,0,0,0,0
97,4980,0,19,1,0,0,0,0
98,4980,0,19,1,0,0,0,0
99,4980,0,19,1,0,0,0,0
100,4980,0,19,1,0,0,0,0
101,4980,0,19,1,0,0,0,0
102,4980,0,19,1,0,0,0,0
103,4980,0,19,1,0,0,0,0
104,4980,0,19,1,0,0,0,0
105,4980,0,19,1,0,0,0,0
106,4980,0,19,1,0,0,0,0
107,4980,0,19,1,0,0,0,0
108,4980,0,19,1,0,0,0,0
109,4980,0,19,1,0,0,0,0
110,4980,0,19,1,0,0,0,0
