day,H,D,R,T,Iso,L,M,S
0,4990,10,0,0,0,0,0,0
1,4990,10,0,0,0,5,5,0
2,4990,10,0,0,0,5,5,0
3,4990,10,0,0,0,5,5,0
4,4990,10,0,0,0,5,5,0
5,4990,10,0,0,10,5,5,0
6,4989,11,0,0,10,6,5,0
7,4989,11,0,0,10,6,5,0
8,4989,11,0,0,10,6,5,0
9,4989,11,0,0,10,6,5,0
10,4989,10,1,0,9,6,4,0
11,4989,8,1,2,8,5,3,0
12,4989,8,1,2,8,5,3,0
13,4989,2,7,2,2,2,0,0
14,4989,2,7,2,2,2,0,0
15,4988,2,7,3,1,2,0,0
16,4988,2,7,3,1,2,0,0
17,4988,2,7,3,1,2,0,0
18,4988,2,7,3,1,2,0,0
19,4988,1,8,3,0,1,0,0
20,4988,1,8,3,1,1,0,0
21,4988,1,8,3,1,1,0,0
22,4988,1,8,3,1,1,0,0
23,4988,1,8,3,1,1,0,0
24,4988,1,8,3,1,1,0,0
25,4988,1,8,3,1,1,0,0
26,4988,0,9,3,0,0,0,0
27,4988,0,9,3,0,0,0,0
28,4988,0,9,3,0,0,0,0
29,4988,0,9,3,0,0,0,0
30,4988,0,9,3,0,0,0,0
31,4988,0,9,3,0,0,0,0
32,4988,0,9,3,0,0,0,0
33,4988,0,9,3,0,0,0,0
34,4988,0,9,3,0,0,0,0
35,4988,0,9,3,0,0,0,0
36,4988,0,9,3,0,0,0,0
37,4988,0,9,3,0,0,0,0
38,4988,0,9,3,0,0,0,0
39,4988,0,9,3,0,0,0,0
40,4988,0,9,3,0,0,0,0
41,4988,0,9,3,0,0,0,0
42,4988,0,9,3,0,0,0,0
43,4988,0,9,3,0,0,0,0
44,4988,0,9,3,0,0,0,0
45,4988,0,9,3,0,0,0,0
46,4988,0,9,3,0,0,0,0
47,4988,0,9,3,0,0,0,0
48,4988,0,9,3,0,0,0,0
49,4988,0,9,3,0,0,0,0
50,4988,0,9,3,0,0,0,0
51,4988,0,9,3,0,0,0,0
52,4988,0,9,3,0,0,0,0
53,4988,0,9,3,0,0,0,0
54,4988,0,9,3,0,0,0,0
55,4988,0,9,3,0,0,0,0
56,4988,0,9,3,0,0,0,0
57,4988,0,9,3,0,0,0,0
58,4988,0,9,3,0,0,0,0
59,4988,0,9,3,0,0,0,0
60,4987,1,9,3,0,0,1,0
61,4987,1,9,3,0,0,1,0
62,4987,1,9,3,0,0,1,0
63,4987,1,9,3,0,0,1,0
64,4987,1,9,3,0,0,1,0
65,4987,1,9,3,1,0,1,0
66,4987,1,9,3,1,0,1,0
67,4987,1,9,3,1,0,1,0
68,4987,1,9,3,1,0,1,0
69,4987,1,9,3,1,0,1,0
70,4987,1,9,3,1,0,1,0
71,4987,1,9,3,1,0,1,0
72,4987,1,9,3,1,0,1,0
73,4987,1,9,3,1,0,1,0
74,4987,1,9,3,1,0,1,0
75,4987,0,10,3,0,0,0,0
76,4987,0,10,3,0,0,0,0
77,4987,0,10,3,0,0,0,0
78,4987,0,10,3,0,0,0,0
79,4987,0,10,3,0,0,0,0
80,4987,0,10,3,0,0,0,0
81,4987,0,10,3,0,0,0,0
82,4987,0,10,3,0,0,0,0
83,4987,0,10,3,0,0,0,0
84,4987,0,10,3,0,0,0,0
85,4987,0,10,3,0,0,0,0
86,4987,0,10,3,0,0,0,0
87,4987,0,10,3,0,0,0,0
88,4987,0,10,3,0,0,0,0
89,4987,0,10,3,0,0,0,0
90,4987,0,10,3,0,0,0,0
91,4987,0,10,3,0,0,0,0
92,4987,0,10,3,0,0,0,0
93,4987,0,10,3,0,0,0,0
94,4987,0,10,3,0,0,0,0
95,4987,0,10,3,0,0,0,0
96,4987,0,10,3,0,0,0,0
97,4987,0,10,3,0,0,0,0
98,4987,0,10,3,0,0,0,0
99,4987,0,10,3,0,0,0,0
100,4987,0,10,3,0,0,0,0
101,4987,0,10,3,0,0,0,0
102,4987,0,10,3,0,0,0,0
103,4987,0,10,3,0,0,0,0
104,4987,0,10,3,0,0,0,0
105,4987,0,10,3,0,0,0,0
106,4987,0,10,3,0,0,0,0
107,4987,0,10,3,0,0,0,0
108,4987,0,10,3,0,0,0,0
109,4987,0,10,3,0,0,0,0
110,4987,0,10,3,0,0,0,0
