day,H,D,R,T,Iso,L,M,S
0,4999,1,0,0,0,0,0,0
1,4998,2,0,0,0,0,1,1
2,4998,2,0,0,0,0,1,1
3,4997,3,0,0,0,1,1,1
4,4997,3,0,0,0,1,1,1
5,4997,3,0,0,1,1,1,1
6,4997,3,0,0,2,1,1,1
7,4997,3,0,0,2,1,1,1
8,4997,3,0,0,3,1,1,1
9,4997,3,0,0,3,1,1,1
10,4997,3,0,0,3,1,1,1
11,4997,3,0,0,3,1,1,1
12,4997,3,0,0,3,1,1,1
13,4997,2,1,0,2,1,1,0
14,4997,2,1,0,2,1,1,0
15,4997,0,3,0,0,0,0,0
16,4997,0,3,0,0,0,0,0
17,4997,0,3,0,0,0,0,0
18,4997,0,3,0,0,0,0,0
19,4997,0,3,0,0,0,0,0
20,4997,0,3,0,0,0,0,0
21,4996,1,3,0,0,1,0,0
22,4996,1,3,0,0,1,0,0
23,4996,1,3,0,0,1,0,0
24,4996,1,3,0,0,1,0,0
25,4996,1,3,0,0,1,0,0
26,4996,1,3,0,1,1,0,0
27,4996,1,3,0,1,1,0,0
28,4996,1,3,0,1,1,0,0
29,4996,1,3,0,1,1,0,0
30,4996,1,3,0,1,1,0,0
31,4996,1,3,0,1,1,0,0
32,4996,1,3,0,1,1,0,0
33,4996,1,3,0,1,1,0,0
34,4996,0,4,0,0,0,0,0
35,4996,0,4,0,0,0,0,0
36,4996,0,4,0,0,0,0,0
37,4996,0,4,0,0,0,0,0
38,4996,0,4,0,0,0,0,0
39,4996,0,4,0,0,0,0,0
40,4996,0,4,0,0,0,0,0
41,4995,1,4,0,0,0,0,1
42,4995,1,4,0,0,0,0,1
43,4995,1,4,0,0,0,0,1
44,4995,1,4,0,0,0,0,1
45,4995,1,4,0,0,0,0,1
46,4995,1,4,0,1,0,0,1
47,4995,1,4,0,1,0,0,1
48,4995,1,4,0,1,0,0,1
49,4995,1,4,0,1,0,0,1
50,4995,1,4,0,1,0,0,1
51,4995,1,4,0,1,0,0,1
52,4995,0,4,1,0,0,0,0
53,4995,0,4,1,0,0,0,0
54,4995,0,4,1,0,0,0,0
55,4995,0,4,1,0,0,0,0
56,4995,0,4,1,0,0,0,0
57,4995,0,4,1,0,0,0,0
58,4995,0,4,1,0,0,0,0
59,4995,0,4,1,0,0,0,0
60,4995,0,4,1,0,0,0,0
61,4995,0,4,1,0,0,0,0
62,4994,1,4,1,0,1,0,0
63,4994,1,4,1,0,1,0,0
64,4994,1,4,1,0,1,0,0
65,4994,1,4,1,0,1,0,0
66,4994,1,4,1,0,1,0,0
67,4994,1,4,1,1,1,0,0
68,4994,1,4,1,1,1,0,0
69,4994,1,4,1,1,1,0,0
70,4994,1,4,1,1,1,0,0
71,4994,1,4,1,1,1,0,0
72,4994,1,4,1,1,1,0,0
73,4994,1,4,1,1,1,0,0
74,4994,0,5,1,0,0,0,0
75,4994,0,5,1,0,0,0,0
76,4994,0,5,1,0,0,0,0
77,4994,0,5,1,0,0,0,0
78,4994,0,5,1,0,0,0,0
79,4994,0,5,1,0,0,0,0
80,4994,0,5,1,0,0,0,0
81,4994,0,5,1,0,0,0,0
82,4994,0,5,1,0,0,0,0
83,4994,0,5,1,0,0,0,0
84,4994,0,5,1,0,0,0,0
85,4994,0,5,1,0,0,0,0
86,4994,0,5,1,0,0,0,0
87,4994,0,5,1,0,0,0,0
88,4994,0,5,1,0,0,0,0
89,4994,0,5,1,0,0,0,0
90,4994,0,5,1,0,0,0,0
91,4994,0,5,1,0,0,0,0
92,4994,0,5,1,0,0,0,0
93,4994,0,5,1,0,0,0,0
94,4994,0,5,1,0,0,0,0
95,4994,0,5,1,0,0,0,0
96,4994,0,5,1,0,0,0,0
97,4994,0,5,1,0,0,0,0
98,4994,0,5,1,0,0,0,0
99,4994,0,5,1,0,0,0,0
100,4994,0,5,1,0,0,0,0
101,4994,0,5,1,0,0,0,0
102,4994,0,5,1,0,0,0,0
103,4994,0,5,1,0,0,0,0
104,4994,0,5,1,0,0,0,0
105,4994,0,5,1,0,0,0,0
106,4994,0,5,1,0,0,0,0
107,4994,0,5,1,0,0,0,0
108,4994,0,5,1,0,0,0,0
109,4994,0,5,1,0,0,0,0
110,4994,0,5,1,0,0,0,0
