day,H,D,R,T,Iso,L,M,S
0,4990,10,0,0,0,0,0,0
1,4990,10,0,0,0,9,1,0
2,4989,11,0,0,0,10,1,0
3,4989,11,0,0,0,10,1,0
4,4989,11,0,0,0,10,1,0
5,4989,11,0,0,10,10,1,0
6,4988,12,0,0,10,10,2,0
7,4988,12,0,0,11,10,2,0
8,4988,12,0,0,11,10,2,0
9,4988,12,0,0,11,10,2,0
10,4987,11,2,0,9,9,2,0
11,4987,10,3,0,9,8,2,0
12,4987,10,3,0,9,8,2,0
13,4987,10,3,0,9,8,2,0
14,4987,8,5,0,7,6,2,0
15,4985,4,11,0,2,3,1,0
16,4985,4,11,0,2,3,1,0
17,4984,5,11,0,2,4,1,0
18,4983,6,11,0,2,5,1,0
19,4983,6,11,0,2,5,1,0
20,4983,4,13,0,2,4,0,0
21,4983,4,13,0,2,4,0,0
22,4983,4,13,0,3,4,0,0
23,4983,4,13,0,4,4,0,0
24,4983,4,13,0,4,4,0,0
25,4983,4,13,0,4,4,0,0
26,4983,4,13,0,4,4,0,0
27,4983,2,15,0,2,2,0,0
28,4983,2,15,0,2,2,0,0
29,4983,1,16,0,1,1,0,0
30,4983,0,17,0,0,0,0,0
31,4982,1,17,0,0,1,0,0
32,4982,1,17,0,0,1,0,0
33,4982,1,17,0,0,1,0,0
34,4982,1,17,0,0,1,0,0
35,4982,1,17,0,0,1,0,0
36,4982,1,17,0,1,1,0,0
37,4982,1,17,0,1,1,0,0
38,4982,1,17,0,1,1,0,0
39,4982,1,17,0,1,1,0,0
40,4982,1,17,0,1,1,0,0
41,4982,0,18,0,0,0,0,0
42,4981,1,18,0,0,1,0,0
43,4981,1,18,0,0,1,0,0
44,4981,1,18,0,0,1,0,0
45,4981,1,18,0,0,1,0,0
46,4981,1,18,0,0,1,0,0
47,4981,1,18,0,1,1,0,0
48,4981,1,18,0,1,1,0,0
49,4981,1,18,0,1,1,0,0
50,4981,1,18,0,1,1,0,0
51,4981,1,18,0,1,1,0,0
52,4981,1,18,0,1,1,0,0
53,4981,1,18,0,1,1,0,0
54,4981,1,18,0,1,1,0,0
55,4981,0,19,0,0,0,0,0
56,4981,0,19,0,0,0,0,0
57,4981,0,19,0,0,0,0,0
58,4981,0,19,0,0,0,0,0
59,4981,0,19,0,0,0,0,0
60,4981,0,19,0,0,0,0,0
61,4981,0,19,0,0,0,0,0
62,4980,1,19,0,0,1,0,0
63,4980,1,19,0,0,1,0,0
64,4980,1,19,0,0,1,0,0
65,4980,1,19,0,0,1,0,0
66,4980,1,19,0,0,1,0,0
67,4980,1,19,0,1,1,0,0
68,4980,1,19,0,1,1,0,0
69,4980,1,19,0,1,1,0,0
70,4980,1,19,0,1,1,0,0
71,4980,1,19,0,1,1,0,0
72,4980,0,20,0,0,0,0,0
73,4980,0,20,0,0,0,0,0
74,4980,0,20,0,0,0,0,0
75,4980,0,20,0,0,0,0,0
76,4980,0,20,0,0,0,0,0
77,4980,0,20,0,0,0,0,0
78,4980,0,20,0,0,0,0,0
79,4980,0,20,0,0,0,0,0
80,4980,0,20,0,0,0,0,0
81,4980,0,20,0,0,0,0,0
82,4980,0,20,0,0,0,0,0
83,4980,0,20,0,0,0,0,0
84,4980,0,20,0,0,0,0,0
85,4980,0,20,0,0,0,0,0
86,4980,0,20,0,0,0,0,0
87,4980,0,20,0,0,0,0,0
88,4980,0,20,0,0,0,0,0
89,4980,0,20,0,0,0,0,0
90,4980,0,20,0,0,0,0,0
91,4980,0,20,0,0,0,0,0
92,4980,0,20,0,0,0,0,0
93,4980,0,20,0,0,0,0,0
94,4980,0,20,0,0,0,0,0
95,4980,0,20,0,0,0,0,0
96,4980,0,20,0,0,0,0,0
97,4980,0,20,0,0,0,0,0
98,4980,0,20,0,0,0,0,0
99,4980,0,20,0,0,0,0,0
100,4980,0,20,0,0,0,0,0
101,4980,0,20,0,0,0,0,0
102,4980,0,20,0,0,0,0,0
103,4980,0,20,0,0,0,0,0
104,4980,0,20,0,0,0,0,0
105,4980,0,20,0,0,0,0,0
106,4980,0,20,0,0,0,0,0
107,4980,0,20,0,0,0,0,0
108,4980,0,20,0,0,0,0,0
109,4980,0,20,0,0,0,0,0
110,4980,0,20,0,0,0,0,0
