day,H,D,R,T,Iso,L,M,S
0,4999,1,0,0,0,0,0,0
1,4999,1,0,0,0,1,0,0
2,4996,4,0,0,0,4,0,0
3,4996,4,0,0,0,4,0,0
4,4996,4,0,0,0,4,0,0
5,4995,5,0,0,1,5,0,0
6,4993,7,0,0,1,7,0,0
7,4992,8,0,0,4,8,0,0
8,4992,8,0,0,4,8,0,0
9,4991,9,0,0,4,9,0,0
10,4990,10,0,0,5,10,0,0
11,4990,9,1,0,6,9,0,0
12,4990,9,1,0,7,9,0,0
13,4990,9,1,0,7,9,0,0
14,4990,9,1,0,8,9,0,0
15,4990,8,2,0,8,8,0,0
16,4990,5,5,0,5,5,0,0
17,4989,4,7,0,3,3,1,0
18,4989,4,7,0,3,3,1,0
19,4989,4,7,0,3,3,1,0
20,4989,4,7,0,3,3,1,0
21,4989,3,8,0,2,2,1,0
22,4989,3,8,0,3,2,1,0
23,4989,2,9,0,2,1,1,0
24,4989,2,9,0,2,1,1,0
25,4989,2,9,0,2,1,1,0
26,4989,1,10,0,1,0,1,0
27,4989,1,10,0,1,0,1,0
28,4989,1,10,0,1,0,1,0
29,4989,0,11,0,0,0,0,0
30,4989,0,11,0,0,0,0,0
31,4989,0,11,0,0,0,0,0
32,4989,0,11,0,0,0,0,0
33,4989,0,11,0,0,0,0,0
34,4989,0,11,0,0,0,0,0
35,4989,0,11,0,0,0,0,0
36,4989,0,11,0,0,0,0,0
37,4989,0,11,0,0,0,0,0
38,4989,0,11,0,0,0,0,0
39,4989,0,11,0,0,0,0,0
40,4989,0,11,0,0,0,0,0
41,4989,0,11,0,0,0,0,0
42,4989,0,11,0,0,0,0,0
43,4989,0,11,0,0,0,0,0
44,4989,0,11,0,0,0,0,0
45,4989,0,11,0,0,0,0,0
46,4989,0,11,0,0,0,0,0
47,4989,0,11,0,0,0,0,0
48,4989,0,11,0,0,0,0,0
49,4989,0,11,0,0,0,0,0
50,4989,0,11,0,0,0,0,0
51,4989,0,11,0,0,0,0,0
52,4989,0,11,0,0,0,0,0
53,4989,0,11,0,0,0,0,0
54,4989,0,11,0,0,0,0,0
55,4989,0,11,0,0,0,0,0
56,4989,0,11,0,0,0,0,0
57,4989,0,11,0,0,0,0,0
58,4989,0,11,0,0,0,0,0
59,4989,0,11,0,0,0,0,0
60,4989,0,11,0,0,0,0,0
61,4989,0,11,0,0,0,0,0
62,4989,0,11,0,0,0,0,0
63,4989,0,11,0,0,0,0,0
64,4989,0,11,0,0,0,0,0
65,4989,0,11,0,0,0,0,0
66,4989,0,11,0,0,0,0,0
67,4989,0,11,0,0,0,0,0
68,4989,0,11,0,0,0,0,0
69,4989,0,11,0,0,0,0,0
70,4989,0,11,0,0,0,0,0
71,4989,0,11,0,0,0,0,0
72,4989,0,11,0,0,0,0,0
73,4989,0,11,0,0,0,0,0
74,4989,0,11,0,0,0,0,0
75,4989,0,11,0,0,0,0,0
76,4989,0,11,0,0,0,0,0
77,4989,0,11,0,0,0,0,0
78,4989,0,11,0,0,0,0,0
79,4989,0,11,0,0,0,0,0
80,4989,0,11,0,0,0,0,0
81,4989,0,11,0,0,0,0,0
82,4989,0,11,0,0,0,0,0
83,4989,0,11,0,0,0,0,0
84,4989,0,11,0,0,0,0,0
85,4989,0,11,0,0,0,0,0
86,4989,0,11,0,0,0,0,0
87,4989,0,11,0,0,0,0,0
88,4989,0,11,0,0,0,0,0
89,4989,0,11,0,0,0,0,0
90,4989,0,11,0,0,0,0,0
91,4989,0,11,0,0,0,0,0
92,4989,0,11,0,0,0,0,0
93,4989,0,11,0,0,0,0,0
94,4989,0,11,0,0,0,0,0
95,4989,0,11,0,0,0,0,0
96,4989,0,11,0,0,0,0,0
97,4989,0,11,0,0,0,0,0
98,4989,0,11,0,0,0,0,0
99,4989,0,11,0,0,0,0,0
100,4989,0,11,0,0,0,0,0
101,4989,0,11,0,0,0,0,0
102,4989,0,11,0,0,0,0,0
103,4989,0,11,0,0,0,0,0
104,4989,0,11,0,0,0,0,0
105,4989,0,11,0,0,0,0,0
106,4989,0,11,0,0,0,0,0
107,4989,0,11,0,0,0,0,0
108,4989,0,11,0,0,0,0,0
109,4989,0,11,0,0,0,0,0
110,4989,0,11,0,0,0,0,0
