day,H,D,R,T,Iso,L,M,S
0,4990,10,0,0,0,0,0,0
1,4990,10,0,0,0,8,1,1
2,4989,11,0,0,0,9,1,1
3,4989,11,0,0,0,9,1,1
4,4989,11,0,0,0,9,1,1
5,4989,11,0,0,10,9,1,1
6,4989,11,0,0,10,9,1,1
7,4988,12,0,0,11,10,1,1
8,4988,12,0,0,11,10,1,1
9,4987,13,0,0,11,11,1,1
10,4987,9,4,0,7,7,1,1
11,4987,9,4,0,7,7,1,1
12,4987,9,4,0,8,7,1,1
13,4987,6,7,0,5,5,1,0
14,4986,5,9,0,4,4,0,1
15,4986,4,10,0,3,3,0,1
16,4986,4,10,0,3,3,0,1
17,4986,3,11,0,2,2,0,1
18,4986,3,11,0,2,2,0,1
19,4986,3,11,0,3,2,0,1
20,4986,3,11,0,3,2,0,1
21,4986,3,11,0,3,2,0,1
22,4986,1,13,0,1,0,0,1
23,4986,1,13,0,1,0,0,1
24,4986,0,14,0,0,0,0,0
25,4986,0,14,0,0,0,0,0
26,4986,0,14,0,0,0,0,0
27,4986,0,14,0,0,0,0,0
28,4986,0,14,0,0,0,0,0
29,4986,0,14,0,0,0,0,0
30,4985,1,14,0,0,1,0,0
31,4985,1,14,0,0,1,0,0
32,4985,1,14,0,0,1,0,0
33,4985,1,14,0,0,1,0,0
34,4985,1,14,0,0,1,0,0
35,4985,1,14,0,1,1,0,0
36,4985,1,14,0,1,1,0,0
37,4985,1,14,0,1,1,0,0
38,4985,1,14,0,1,1,0,0
39,4985,1,14,0,1,1,0,0
40,4985,1,14,0,1,1,0,0
41,4985,1,14,0,1,1,0,0
42,4985,1,14,0,1,1,0,0
43,4985,1,14,0,1,1,0,0
44,4985,0,15,0,0,0,0,0
45,4985,0,15,0,0,0,0,0
46,4985,0,15,0,0,0,0,0
47,4985,0,15,0,0,0,0,0
48,4985,0,15,0,0,0,0,0
49,4985,0,15,0,0,0,0,0
50,4985,0,15,0,0,0,0,0
51,4985,0,15,0,0,0,0,0
52,4985,0,15,0,0,0,0,0
53,4985,0,15,0,0,0,0,0
54,4985,0,15,0,0,0,0,0
55,4985,0,15,0,0,0,0,0
56,4985,0,15,0,0,0,0,0
57,4985,0,15,0,0,0,0,0
58,4985,0,15,0,0,0,0,0
59,4985,0,15,0,0,0,0,0
60,4985,0,15,0,0,0,0,0
61,4985,0,15,0,0,0,0,0
62,4985,0,15,0,0,0,0,0
63,4985,0,15,0,0,0,0,0
64,4985,0,15,0,0,0,0,0
65,4985,0,15,0,0,0,0,0
66,4985,0,15,0,0,0,0,0
67,4985,0,15,0,0,0,0,0
68,4985,0,15,0,0,0,0,0
69,4985,0,15,0,0,0,0,0
70,4985,0,15,0,0,0,0,0
71,4985,0,15,0,0,0,0,0
72,4985,0,15,0,0,0,0,0
73,4985,0,15,0,0,0,0,0
74,4985,0,15,0,0,0,0,0
75,4985,0,15,0,0,0,0,0
76,4985,0,15,0,0,0,0,0
77,4985,0,15,0,0,0,0,0
78,4985,0,15,0,0,0,0,0
79,4985,0,15,0,0,0,0,0
80,4985,0,15,0,0,0,0,0
81,4985,0,15,0,0,0,0,0
82,4985,0,15,0,0,0,0,0
83,4985,0,15,0,0,0,0,0
84,4985,0,15,0,0,0,0,0
85,4985,0,15,0,0,0,0,0
86,4985,0,15,0,0,0,0,0
87,4985,0,15,0,0,0,0,0
88,4985,0,15,0,0,0,0,0
89,4985,0,15,0,0,0,0,0
90,4985,0,15,0,0,0,0,0
91,4985,0,15,0,0,0,0,0
92,4985,0,15,0,0,0,0,0
93,4985,0,15,0,0,0,0,0
94,4985,0,15,0,0,0,0,0
95,4985,0,15,0,0,0,0,0
96,4985,0,15,0,0,0,0,0
97,4985,0,15,0,0,0,0,0
98,4985,0,15,0,0,0,0,0
99,4985,0,15,0,0,0,0,0
100,4985,0,15,0,0,0,0,0
101,4985,0,15,0,0,0,0,0
102,4985,0,15,0,0,0,0,0
103,4985,0,15,0,0,0,0,0
104,4985,0,15,0,0,0,0,0
105,4985,0,15,0,0,0,0,0
106,4985,0,15,0,0,0,0,0
107,4985,0,15,0,0,0,0,0
108,4985,0,15,0,0,0,0,0
109,4985,0,15,0,0,0,0,0
110,4985,0,15,0,0,0,0,0
