day,H,D,R,T,Iso,L,M,S
0,4995,5,0,0,0,0,0,0
1,4993,7,0,0,0,6,1,0
2,4993,7,0,0,0,6,1,0
3,4992,8,0,0,0,7,1,0
4,4990,10,0,0,0,9,1,0
5,4989,11,0,0,5,10,1,0
6,4989,11,0,0,7,10,1,0
7,4989,11,0,0,7,10,1,0
8,4989,11,0,0,8,10,1,0
9,4988,12,0,0,10,11,1,0
10,4987,12,1,0,10,11,1,0
11,4987,11,2,0,9,10,1,0
12,4987,11,2,0,9,10,1,0
13,4987,9,4,0,7,8,1,0
14,4987,9,4,0,8,8,1,0
15,4984,9,7,0,6,9,0,0
16,4984,9,7,0,6,9,0,0
17,4984,7,9,0,4,7,0,0
18,4984,6,10,0,3,6,0,0
19,4984,6,10,0,3,6,0,0
20,4984,6,10,0,6,6,0,0
21,4984,5,11,0,5,5,0,0
22,4984,5,11,0,5,5,0,0
23,4984,5,11,0,5,5,0,0
24,4984,5,11,0,5,5,0,0
25,4984,3,13,0,3,3,0,0
26,4983,1,16,0,0,1,0,0
27,4983,1,16,0,0,1,0,0
28,4983,1,16,0,0,1,0,0
29,4983,1,16,0,0,1,0,0
30,4983,1,16,0,0,1,0,0
31,4983,1,16,0,1,1,0,0
32,4983,1,16,0,1,1,0,0
33,4981,3,16,0,1,3,0,0
34,4981,3,16,0,1,3,0,0
35,4980,4,16,0,1,4,0,0
36,4980,4,16,0,1,4,0,0
37,4980,4,16,0,1,4,0,0
38,4980,4,16,0,3,4,0,0
39,4979,5,16,0,3,4,0,1
40,4979,5,16,0,4,4,0,1
41,4979,4,17,0,3,3,0,1
42,4979,4,17,0,3,3,0,1
43,4979,2,19,0,1,1,0,1
44,4979,2,19,0,2,1,0,1
45,4979,2,19,0,2,1,0,1
46,4979,1,20,0,1,0,0,1
47,4979,1,20,0,1,0,0,1
48,4979,1,20,0,1,0,0,1
49,4979,0,21,0,0,0,0,0
50,4978,1,21,0,0,1,0,0
51,4978,1,21,0,0,1,0,0
52,4977,2,21,0,0,1,0,1
53,4977,2,21,0,0,1,0,1
54,4976,3,21,0,0,1,1,1
55,4976,3,21,0,1,1,1,1
56,4976,3,21,0,1,1,1,1
57,4975,4,21,0,2,2,1,1
58,4975,4,21,0,2,2,1,1
59,4975,4,21,0,3,2,1,1
60,4975,4,21,0,3,2,1,1
61,4975,3,21,1,2,1,1,1
62,4975,3,21,1,3,1,1,1
63,4975,2,22,1,2,1,1,0
64,4975,1,23,1,1,1,0,0
65,4975,1,23,1,1,1,0,0
66,4975,1,23,1,1,1,0,0
67,4975,1,23,1,1,1,0,0
68,4975,1,23,1,1,1,0,0
69,4975,1,23,1,1,1,0,0
70,4975,0,24,1,0,0,0,0
71,4975,0,24,1,0,0,0,0
72,4975,0,24,1,0,0,0,0
73,4975,0,24,1,0,0,0,0
74,4975,0,24,1,0,0,0,0
75,4975,0,24,1,0,0,0,0
76,4975,0,24,1,0,0,0,0
77,4975,0,24,1,0,0,0,0
78,4975,0,24,1,0,0,0,0
79,4975,0,24,1,0,0,0,0
80,4975,0,24,1,0,0,0,0
81,4975,0,24,1,0,0,0,0
82,4975,0,24,1,0,0,0,0
83,4975,0,24,1,0,0,0,0
84,4975,0,24,1,0,0,0,0
85,4975,0,24,1,0,0,0,0
86,4975,0,24,1,0,0,0,0
87,4975,0,24,1,0,0,0,0
88,4975,0,24,1,0,0,0,0
89,4975,0,24,1,0,0,0,0
90,4975,0,24,1,0,0,0,0
91,4975,0,24,1,0,0,0,0
92,4975,0,24,1,0,0,0,0
93,4975,0,24,1,0,0,0,0
94,4975,0,24,1,0,0,0,0
95,4975,0,24,1,0,0,0,0
96,4975,0,24,1,0,0,0,0
97,4975,0,24,1,0,0,0,0
98,4975,0,24,1,0,0,0,0
99,4975,0,24,1,0,0,0,0
100,4975,0,24,1,0,0,0,0
101,4975,0,24,1,0,0,0,0
102,4975,0,24,1,0,0,0,0
103,4975,0,24,1,0,0,0,0
104,4975,0,24,1,0,0,0,0
105,4975,0,24,1,0,0,0,0
106,4975,0,24,1,0,0,0,0
107,4975,0,24,1,0,0,0,0
108,4975,0,24,1,0,0,0,0
109,4975,0,24,1,0,0,0,0
110,4975,0,24,1,0,0,0,0
