day,H,D,R,T,Iso,L,M,S
0,4995,5,0,0,0,0,0,0
1,4993,7,0,0,0,5,2,0
2,4992,8,0,0,0,5,3,0
3,4991,9,0,0,0,5,4,0
4,4989,11,0,0,0,5,4,2
5,4989,11,0,0,5,5,4,2
6,4988,12,0,0,7,5,5,2
7,4987,13,0,0,8,6,5,2
8,4985,15,0,0,9,6,7,2
9,4984,16,0,0,11,6,8,2
10,4984,16,0,0,11,6,8,2
11,4983,17,0,0,12,7,8,2
12,4982,17,1,0,12,7,8,2
13,4980,18,2,0,13,9,7,2
14,4980,16,4,0,12,7,7,2
15,4980,10,10,0,6,5,5,0
16,4980,9,10,1,6,5,4,0
17,4980,9,10,1,7,5,4,0
18,4980,9,10,1,9,5,4,0
19,4979,8,12,1,7,6,2,0
20,4979,8,12,1,7,6,2,0
21,4978,8,13,1,6,7,1,0
22,4978,7,14,1,5,6,1,0
23,4978,7,14,1,5,6,1,0
24,4978,6,15,1,5,6,0,0
25,4978,6,15,1,5,6,0,0
26,4978,3,18,1,3,3,0,0
27,4978,2,19,1,2,2,0,0
28,4977,3,19,1,2,2,1,0
29,4977,3,19,1,2,2,1,0
30,4977,3,19,1,2,2,1,0
31,4977,2,19,2,1,1,1,0
32,4975,4,19,2,1,3,1,0
33,4975,4,19,2,2,3,1,0
34,4975,4,19,2,2,3,1,0
35,4975,4,19,2,2,3,1,0
36,4975,4,19,2,2,3,1,0
37,4975,3,20,2,3,2,1,0
38,4975,3,20,2,3,2,1,0
39,4975,3,20,2,3,2,1,0
40,4975,3,20,2,3,2,1,0
41,4975,3,20,2,3,2,1,0
42,4975,3,20,2,3,2,1,0
43,4975,2,21,2,2,2,0,0
44,4975,2,21,2,2,2,0,0
45,4975,2,21,2,2,2,0,0
46,4975,2,21,2,2,2,0,0
47,4975,0,23,2,0,0,0,0
48,4975,0,23,2,0,0,0,0
49,4975,0,23,2,0,0,0,0
50,4975,0,23,2,0,0,0,0
51,4975,0,23,2,0,0,0,0
52,4975,0,23,2,0,0,0,0
53,4975,0,23,2,0,0,0,0
54,4975,0,23,2,0,0,0,0
55,4975,0,23,2,0,0,0,0
56,4975,0,23,2,0,0,0,0
57,4975,0,23,2,0,0,0,0
58,4975,0,23,2,0,0,0,0
59,4975,0,23,2,0,0,0,0
60,4975,0,23,2,0,0,0,0
61,4975,0,23,2,0,0,0,0
62,4975,0,23,2,0,0,0,0
63,4975,0,23,2,0,0,0,0
64,4975,0,23,2,0,0,0,0
65,4975,0,23,2,0,0,0,0
66,4975,0,23,2,0,0,0,0
67,4975,0,23,2,0,0,0,0
68,4975,0,23,2,0,0,0,0
69,4975,0,23,2,0,0,0,0
70,4975,0,23,2,0,0,0,0
71,4975,0,23,2,0,0,0,0
72,4975,0,23,2,0,0,0,0
73,4975,0,23,2,0,0,0,0
74,4975,0,23,2,0,0,0,0
75,4975,0,23,2,0,0,0,0
76,4975,0,23,2,0,0,0,0
77,4975,0,23,2,0,0,0,0
78,4975,0,23,2,0,0,0,0
79,4975,0,23,2,0,0,0,0
80,4975,0,23,2,0,0,0,0
81,4975,0,23,2,0,0,0,0
82,4975,0,23,2,0,0,0,0
83,4975,0,23,2,0,0,0,0
84,4975,0,23,2,0,0,0,0
85,4975,0,23,2,0,0,0,0
86,4975,0,23,2,0,0,0,0
87,4975,0,23,2,0,0,0,0
88,4975,0,23,2,0,0,0,0
89,4975,0,23,2,0,0,0,0
90,4975,0,23,2,0,0,0,0
91,4975,0,23,2,0,0,0,0
92,4975,0,23,2,0,0,0,0
93,4975,0,23,2,0,0,0,0
94,4975,0,23,2,0,0,0,0
95,4975,0,23,2,0,0,0,0
96,4975,0,23,2,0,0,0,0
97,4975,0,23,2,0,0,0,0
98,4975,0,23,2,0,0,0,0
99,4975,0,23,2,0,0,0,0
100,4975,0,23,2,0,0,0,0
101,4975,0,23,2,0,0,0,0
102,4975,0,23,2,0,0,0,0
103,4975,0,23,2,0,0,0,0
104,4975,0,23,2,0,0,0,0
105,4975,0,23,2,0,0,0,0
106,4975,0,23,2,0,0,0,0
107,4975,0,23,2,0,0,0,0
108,4975,0,23,2,0,0,0,0
109,4975,0,23,2,0,0,0,0
110,4975,0,23,2,0,0,0,0
