day,H,D,R,T,Iso,L,M,S
0,4995,5,0,0,0,0,0,0
1,4995,5,0,0,0,5,0,0
2,4995,5,0,0,0,5,0,0
3,4995,5,0,0,0,5,0,0
4,4995,5,0,0,0,5,0,0
5,4994,6,0,0,5,6,0,0
6,4994,6,0,0,5,6,0,0
7,4993,7,0,0,5,7,0,0
8,4993,7,0,0,5,7,0,0
9,4993,7,0,0,5,7,0,0
10,4993,6,1,0,5,6,0,0
11,4993,6,1,0,5,6,0,0
12,4993,4,3,0,4,4,0,0
13,4993,4,3,0,4,4,0,0
14,4993,3,4,0,3,3,0,0
15,4993,2,5,0,2,2,0,0
16,4992,3,5,0,2,3,0,0
17,4992,3,5,0,2,3,0,0
18,4992,3,5,0,2,3,0,0
19,4992,3,5,0,2,3,0,0
20,4992,3,5,0,2,3,0,0
21,4992,2,6,0,2,2,0,0
22,4992,1,6,1,1,1,0,0
23,4991,2,6,1,1,2,0,0
24,4991,2,6,1,1,2,0,0
25,4989,4,6,1,1,4,0,0
26,4989,4,6,1,1,4,0,0
27,4989,4,6,1,1,4,0,0
28,4989,4,6,1,2,4,0,0
29,4989,4,6,1,2,4,0,0
30,4989,4,6,1,4,4,0,0
31,4988,4,7,1,3,4,0,0
32,4988,4,7,1,3,4,0,0
33,4988,4,7,1,3,4,0,0
34,4988,3,8,1,2,3,0,0
35,4988,3,8,1,2,3,0,0
36,4988,1,10,1,1,1,0,0
37,4987,2,10,1,1,2,0,0
38,4987,2,10,1,1,2,0,0
39,4987,2,10,1,1,2,0,0
40,4987,2,10,1,1,2,0,0
41,4987,2,10,1,1,2,0,0
42,4987,2,10,1,2,2,0,0
43,4987,1,11,1,1,1,0,0
44,4987,1,11,1,1,1,0,0
45,4987,1,11,1,1,1,0,0
46,4987,1,11,1,1,1,0,0
47,4987,1,11,1,1,1,0,0
48,4987,0,12,1,0,0,0,0
49,4987,0,12,1,0,0,0,0
50,4986,1,12,1,0,1,0,0
51,4986,1,12,1,0,1,0,0
52,4986,1,12,1,0,1,0,0
53,4986,1,12,1,0,1,0,0
54,4986,1,12,1,0,1,0,0
55,4986,1,12,1,1,1,0,0
56,4986,1,12,1,1,1,0,0
57,4986,1,12,1,1,1,0,0
58,4986,1,12,1,1,1,0,0
59,4986,1,12,1,1,1,0,0
60,4986,1,12,1,1,1,0,0
61,4986,0,13,1,0,0,0,0
62,4986,0,13,1,0,0,0,0
63,4986,0,13,1,0,0,0,0
64,4986,0,13,1,0,0,0,0
65,4986,0,13,1,0,0,0,0
66,4986,0,13,1,0,0,0,0
67,4986,0,13,1,0,0,0,0
68,4986,0,13,1,0,0,0,0
69,4986,0,13,1,0,0,0,0
70,4986,0,13,1,0,0,0,0
71,4986,0,13,1,0,0,0,0
72,4986,0,13,1,0,0,0,0
73,4985,1,13,1,0,1,0,0
74,4985,1,13,1,0,1,0,0
75,4985,1,13,1,0,1,0,0
76,4985,1,13,1,0,1,0,0
77,4985,1,13,1,0,1,0,0
78,4985,1,13,1,1,1,0,0
79,4985,1,13,1,1,1,0,0
80,4985,1,13,1,1,1,0,0
81,4985,1,13,1,1,1,0,0
82,4985,1,13,1,1,1,0,0
83,4985,1,13,1,1,1,0,0
84,4985,1,13,1,1,1,0,0
85,4985,0,14,1,0,0,0,0
86,4985,0,14,1,0,0,0,0
87,4985,0,14,1,0,0,0,0
88,4985,0,14,1,0,0,0,0
89,4985,0,14,1,0,0,0,0
90,4985,0,14,1,0,0,0,0
91,4985,0,14,1,0,0,0,0
92,4985,0,14,1,0,0,0,0
93,4985,0,14,1,0,0,0,0
94,4985,0,14,1,0,0,0,0
95,4985,0,14,1,0,0,0,0
96,4985,0,14,1,0,0,0,0
97,4985,0,14,1,0,0,0,0
98,4985,0,14,1,0,0,0,0
99,4985,0,14,1,0,0,0,0
100,4985,0,14,1,0,0,0,0
101,4985,0,14,1,0,0,0,0
102,4985,0,14,1,0,0,0,0
103,4985,0,14,1,0,0,0,0
104,4985,0,14,1,0,0,0,0
105,4985,0,14,1,0,0,0,0
106,4985,0,14,1,0,0,0,0
107,4985,0,14,1,0,0,0,0
108,4985,0,14,1,0,0,0,0
109,4985,0,14,1,0,0,0,0
110,4985,0,14,1,0,0,0,0
