day,H,D,R,T,Iso,L,M,S
0,4999,1,0,0,0,0,0,0
1,4999,1,0,0,0,1,0,0
2,4996,4,0,0,0,4,0,0
3,4995,5,0,0,0,4,1,0
4,4995,5,0,0,0,4,1,0
5,4993,7,0,0,1,4,1,2
6,4991,9,0,0,1,4,3,2
7,4990,10,0,0,4,5,3,2
8,4989,11,0,0,5,6,3,2
9,4987,13,0,0,5,6,3,4
10,4985,15,0,0,7,6,5,4
11,4984,16,0,0,9,6,6,4
12,4982,18,0,0,10,8,6,4
13,4982,17,1,0,10,7,6,4
14,4982,17,1,0,12,7,6,4
15,4981,14,5,0,10,5,5,4
16,4981,14,5,0,11,5,5,4
17,4980,15,5,0,13,5,6,4
18,4979,16,5,0,13,6,6,4
19,4979,16,5,0,13,6,6,4
20,4979,16,5,0,14,6,6,4
21,4979,8,13,0,6,5,1,2
22,4979,8,13,0,7,5,1,2
23,4979,7,14,0,7,4,1,2
24,4979,7,14,0,7,4,1,2
25,4979,5,16,0,5,4,1,0
26,4979,5,16,0,5,4,1,0
27,4979,5,16,0,5,4,1,0
28,4979,2,19,0,2,1,1,0
29,4979,1,20,0,1,1,0,0
30,4979,1,20,0,1,1,0,0
31,4979,1,20,0,1,1,0,0
32,4979,0,21,0,0,0,0,0
33,4979,0,21,0,0,0,0,0
34,4979,0,21,0,0,0,0,0
35,4979,0,21,0,0,0,0,0
36,4979,0,21,0,0,0,0,0
37,4979,0,21,0,0,0,0,0
38,4979,0,21,0,0,0,0,0
39,4979,0,21,0,0,0,0,0
40,4979,0,21,0,0,0,0,0
41,4979,0,21,0,0,0,0,0
42,4979,0,21,0,0,0,0,0
43,4979,0,21,0,0,0,0,0
44,4979,0,21,0,0,0,0,0
45,4979,0,21,0,0,0,0,0
46,4979,0,21,0,0,0,0,0
47,4979,0,21,0,0,0,0,0
48,4979,0,21,0,0,0,0,0
49,4979,0,21,0,0,0,0,0
50,4979,0,21,0,0,0,0,0
51,4979,0,21,0,0,0,0,0
52,4979,0,21,0,0,0,0,0
53,4979,0,21,0,0,0,0,0
54,4979,0,21,0,0,0,0,0
55,4979,0,21,0,0,0,0,0
56,4979,0,21,0,0,0,0,0
57,4979,0,21,0,0,0,0,0
58,4979,0,21,0,0,0,0,0
59,4979,0,21,0,0,0,0,0
60,4979,0,21,0,0,0,0,0
61,4979,0,21,0,0,0,0,0
62,4979,0,21,0,0,0,0,0
63,4979,0,21,0,0,0,0,0
64,4979,0,21,0,0,0,0,0
65,4979,0,21,0,0,0,0,0
66,4979,0,21,0,0,0,0,0
67,4979,0,21,0,0,0,0,0
68,4979,0,21,0,0,0,0,0
69,4979,0,21,0,0,0,0,0
70,4979,0,21,0,0,0,0,0
71,4979,0,21,0,0,0,0,0
72,4979,0,21,0,0,0,0,0
73,4979,0,21,0,0,0,0,0
74,4979,0,21,0,0,0,0,0
75,4979,0,21,0,0,0,0,0
76,4979,0,21,0,0,0,0,0
77,4979,0,21,0,0,0,0,0
78,4979,0,21,0,0,0,0,0
79,4979,0,21,0,0,0,0,0
80,4979,0,21,0,0,0,0,0
81,4979,0,21,0,0,0,0,0
82,4979,0,21,0,0,0,0,0
83,4979,0,21,0,0,0,0,0
84,4979,0,21,0,0,0,0,0
85,4979,0,21,0,0,0,0,0
86,4979,0,21,0,0,0,0,0
87,4979,0,21,0,0,0,0,0
88,4979,0,21,0,0,0,0,0
89,4979,0,21,0,0,0,0,0
90,4979,0,21,0,0,0,0,0
91,4979,0,21,0,0,0,0,0
92,4979,0,21,0,0,0,0,0
93,4979,0,21,0,0,0,0,0
94,4979,0,21,0,0,0,0,0
95,4979,0,21,0,0,0,0,0
96,4979,0,21,0,0,0,0,0
97,4979,0,21,0,0,0,0,0
98,4979,0,21,0,0,0,0,0
99,4979,0,21,0,0,0,0,0
100,4979,0,21,0,0,0,0,0
101,4979,0,21,0,0,0,0,0
102,4979,0,21,0,0,0,0,0
103,4979,0,21,0,0,0,0,0
104,4979,0,21,0,0,0,0,0
105,4979,0,21,0,0,0,0,0
106,4979,0,21,0,0,0,0,0
107,4979,0,21,0,0,0,0,0
108,4979,0,21,0,0,0,0,0
109,4979,0,21,0,0,0,0,0
110,4979,0,21,0,0,0,0,0
