day,H,D,R,T,Iso,L,M,S
0,4990,10,0,0,0,2,0,0
1,4989,11,0,0,0,7,2,2
2,4988,12,0,0,0,8,2,2
3,4988,12,0,0,0,8,2,2
4,4988,12,0,0,0,8,2,2
5,4988,12,0,0,10,8,2,2
6,4988,12,0,0,11,8,2,2
7,4987,13,0,0,12,8,3,2
8,4986,14,0,0,12,9,3,2
9,4986,14,0,0,12,9,3,2
10,4983,15,2,0,10,11,2,2
11,4983,14,3,0,9,11,2,1
12,4983,13,3,1,9,10,2,1
13,4983,10,6,1,7,8,1,1
14,4981,8,10,1,3,5,3,0
15,4981,7,11,1,5,4,3,0
16,4980,8,11,1,5,5,3,0
17,4980,8,11,1,5,5,3,0
18,4979,9,11,1,5,5,4,0
19,4979,9,11,1,7,5,4,0
20,4979,9,11,1,7,5,4,0
21,4979,6,14,1,5,2,4,0
22,4979,5,15,1,4,2,3,0
23,4979,5,15,1,5,2,3,0
24,4979,4,16,1,4,1,3,0
25,4979,4,16,1,4,1,3,0
26,4978,5,16,1,4,2,3,0
27,4978,3,18,1,2,2,1,0
28,4978,3,18,1,2,2,1,0
29,4978,3,18,1,2,2,1,0
30,4977,4,18,1,2,3,1,0
31,4977,3,19,1,2,2,1,0
32,4977,3,19,1,2,2,1,0
33,4977,2,20,1,1,2,0,0
34,4977,2,20,1,1,2,0,0
35,4977,2,20,1,2,2,0,0
36,4977,2,20,1,2,2,0,0
37,4977,2,20,1,2,2,0,0
38,4977,2,20,1,2,2,0,0
39,4976,3,20,1,2,3,0,0
40,4976,2,21,1,1,2,0,0
41,4976,1,22,1,0,1,0,0
42,4976,1,22,1,0,1,0,0
43,4976,1,22,1,0,1,0,0
44,4976,1,22,1,1,1,0,0
45,4976,1,22,1,1,1,0,0
46,4976,1,22,1,1,1,0,0
47,4975,2,22,1,1,2,0,0
48,4975,2,22,1,1,2,0,0
49,4975,2,22,1,1,2,0,0
50,4975,2,22,1,1,2,0,0
51,4975,2,22,1,1,2,0,0
52,4975,2,22,1,2,2,0,0
53,4975,2,22,1,2,2,0,0
54,4975,1,23,1,1,1,0,0
55,4975,1,23,1,1,1,0,0
56,4975,1,23,1,1,1,0,0
57,4975,0,24,1,0,0,0,0
58,4975,0,24,1,0,0,0,0
59,4975,0,24,1,0,0,0,0
60,4975,0,24,1,0,0,0,0
61,4975,0,24,1,0,0,0,0
62,4975,0,24,1,0,0,0,0
63,4975,0,24,1,0,0,0,0
64,4975,0,24,1,0,0,0,0
65,4975,0,24,1,0,0,0,0
66,4975,0,24,1,0,0,0,0
67,4975,0,24,1,0,0,0,0
68,4975,0,24,1,0,0,0,0
69,4975,0,24,1,0,0,0,0
70,4975,0,24,1,0,0,0,0
71,4975,0,24,1,0,0,0,0
72,4975,0,24,1,0,0,0,0
73,4975,0,24,1,0,0,0,0
74,4975,0,24,1,0,0,0,0
75,4975,0,24,1,0,0,0,0
76,4975,0,24,1,0,0,0,0
77,4975,0,24,1,0,0,0,0
78,4975,0,24,1,0,0,0,0
79,4975,0,24,1,0,0,0,0
80,4975,0,24,1,0,0,0,0
81,4974,1,24,1,0,1,0,0
82,4974,1,24,1,0,1,0,0
83,4974,1,24,1,0,1,0,0
84,4974,1,24,1,0,1,0,0
85,4974,1,24,1,0,1,0,0
86,4974,1,24,1,1,1,0,0
87,4974,1,24,1,1,1,0,0
88,4974,1,24,1,1,1,0,0
89,4973,2,24,1,1,2,0,0
90,4973,2,24,1,1,2,0,0
91,4973,1,25,1,0,1,0,0
92,4973,1,25,1,0,1,0,0
93,4973,1,25,1,0,1,0,0
94,4973,1,25,1,1,1,0,0
95,4973,1,25,1,1,1,0,0
96,4973,1,25,1,1,1,0,0
97,4973,1,25,1,1,1,0,0
98,4973,1,25,1,1,1,0,0
99,4973,1,25,1,1,1,0,0
100,4973,1,25,1,1,1,0,0
101,4973,1,25,1,1,1,0,0
102,4973,1,25,1,1,1,0,0
103,4973,1,25,1,1,1,0,0
104,4973,1,25,1,1,1,0,0
105,4973,0,26,1,0,0,0,0
106,4973,0,26,1,0,0,0,0
107,4973,0,26,1,0,0,0,0
108,4972,1,26,1,0,1,0,0
109,4972,1,26,1,0,1,0,0
110,4971,2,26,1,0,2,0,0
