day,H,D,R,T,Iso,L,M,S
0,4990,10,0,0,0,0,0,0
1,4989,11,0,0,0,9,2,0
2,4989,11,0,0,0,9,2,0
3,4987,13,0,0,0,11,2,0
4,4987,13,0,0,0,11,2,0
5,4987,13,0,0,10,11,2,0
6,4987,13,0,0,11,11,2,0
7,4987,13,0,0,11,11,2,0
8,4987,13,0,0,13,11,2,0
9,4986,14,0,0,13,12,2,0
10,4986,13,1,0,12,11,2,0
11,4986,11,1,2,10,10,1,0
12,4986,9,3,2,8,8,1,0
13,4986,6,6,2,5,5,1,0
14,4986,4,8,2,4,4,0,0
15,4986,3,9,2,3,3,0,0
16,4986,3,9,2,3,3,0,0
17,4984,3,11,2,1,3,0,0
18,4984,3,11,2,1,3,0,0
19,4984,3,11,2,1,3,0,0
20,4984,3,11,2,1,3,0,0
21,4983,4,11,2,1,4,0,0
22,4983,4,11,2,3,4,0,0
23,4983,4,11,2,3,4,0,0
24,4983,3,12,2,2,3,0,0
25,4983,3,12,2,2,3,0,0
26,4983,3,12,2,3,3,0,0
27,4983,3,12,2,3,3,0,0
28,4983,3,12,2,3,3,0,0
29,4983,3,12,2,3,3,0,0
30,4983,3,12,2,3,3,0,0
31,4983,1,14,2,1,1,0,0
32,4983,1,14,2,1,1,0,0
33,4982,2,14,2,1,1,1,0
34,4982,2,14,2,1,1,1,0
35,4982,2,14,2,1,1,1,0
36,4982,2,14,2,1,1,1,0
37,4981,2,15,2,0,1,1,0
38,4981,2,15,2,1,1,1,0
39,4981,2,15,2,1,1,1,0
40,4981,2,15,2,1,1,1,0
41,4980,3,15,2,1,2,1,0
42,4980,3,15,2,2,2,1,0
43,4980,3,15,2,2,2,1,0
44,4980,3,15,2,2,2,1,0
45,4980,3,15,2,2,2,1,0
46,4980,2,16,2,2,2,0,0
47,4980,2,16,2,2,2,0,0
48,4980,1,17,2,1,1,0,0
49,4980,1,17,2,1,1,0,0
50,4980,1,17,2,1,1,0,0
51,4980,1,17,2,1,1,0,0
52,4980,1,17,2,1,1,0,0
53,4980,1,17,2,1,1,0,0
54,4980,1,17,2,1,1,0,0
55,4980,0,18,2,0,0,0,0
56,4980,0,18,2,0,0,0,0
57,4980,0,18,2,0,0,0,0
58,4980,0,18,2,0,0,0,0
59,4980,0,18,2,0,0,0,0
60,4980,0,18,2,0,0,0,0
61,4980,0,18,2,0,0,0,0
62,4980,0,18,2,0,0,0,0
63,4980,0,18,2,0,0,0,0
64,4980,0,18,2,0,0,0,0
65,4980,0,18,2,0,0,0,0
66,4980,0,18,2,0,0,0,0
67,4980,0,18,2,0,0,0,0
68,4980,0,18,2,0,0,0,0
69,4980,0,18,2,0,0,0,0
70,4980,0,18,2,0,0,0,0
71,4980,0,18,2,0,0,0,0
72,4980,0,18,2,0,0,0,0
73,4980,0,18,2,0,0,0,0
74,4980,0,18,2,0,0,0,0
75,4980,0,18,2,0,0,0,0
76,4980,0,18,2,0,0,0,0
77,4980,0,18,2,0,0,0,0
78,4980,0,18,2,0,0,0,0
79,4980,0,18,2,0,0,0,0
80,4980,0,18,2,0,0,0,0
81,4980,0,18,2,0,0,0,0
82,4980,0,18,2,0,0,0,0
83,4980,0,18,2,0,0,0,0
84,4980,0,18,2,0,0,0,0
85,4980,0,18,2,0,0,0,0
86,4980,0,18,2,0,0,0,0
87,4980,0,18,2,0,0,0,0
88,4980,0,18,2,0,0,0,0
89,4980,0,18,2,0,0,0,0
90,4980,0,18,2,0,0,0,0
91,4980,0,18,2,0,0,0,0
92,4980,0,18,2,0,0,0,0
93,4980,0,18,2,0,0,0,0
94,4980,0,18,2,0,0,0,0
95,4980,0,18,2,0,0,0,0
96,4980,0,18,2,0,0,0,0
97,4980,0,18,2,0,0,0,0
98,4980,0,18,2,0,0,0,0
99,4980,0,18,2,0,0,0,0
100,4980,0,18,2,0,0,0,0
101,4980,0,18,2,0,0,0,0
102,4980,0,18,2,0,0,0,0
103,4980,0,18,2,0,0,0,0
104,4980,0,18,2,0,0,0,0
105,4980,0,18,2,0,0,0,0
106,4980,0,18,2,0,0,0,0
107,4980,0,18,2,0,0,0,0
108,4980,0,18,2,0,0,0,0
109,4980,0,18,2,0,0,0,0
110,4980,0,18,2,0,0,0,0
