day,H,D,R,T,Iso,L,M,S
0,4999,1,0,0,0,0,0,0
1,4997,3,0,0,0,1,2,0
2,4996,4,0,0,0,2,2,0
3,4996,4,0,0,0,2,2,0
4,4996,4,0,0,0,2,2,0
5,4996,4,0,0,1,2,2,0
6,4996,4,0,0,3,2,2,0
7,4996,4,0,0,4,2,2,0
8,4995,5,0,0,4,3,2,0
9,4995,5,0,0,4,3,2,0
10,4995,4,1,0,3,2,2,0
11,4995,4,1,0,3,2,2,0
12,4995,4,1,0,3,2,2,0
13,4995,4,1,0,4,2,2,0
14,4995,3,2,0,3,1,2,0
15,4995,3,2,0,3,1,2,0
16,4993,3,4,0,1,3,0,0
17,4993,3,4,0,1,3,0,0
18,4993,3,4,0,1,3,0,0
19,4993,3,4,0,1,3,0,0
20,4993,3,4,0,1,3,0,0
21,4993,3,4,0,3,3,0,0
22,4993,3,4,0,3,3,0,0
23,4993,2,5,0,2,2,0,0
24,4993,2,5,0,2,2,0,0
25,4993,2,5,0,2,2,0,0
26,4992,3,5,0,2,3,0,0
27,4991,4,5,0,2,3,1,0
28,4991,4,5,0,2,3,1,0
29,4991,4,5,0,2,3,1,0
30,4991,4,5,0,2,3,1,0
31,4991,4,5,0,3,3,1,0
32,4991,2,7,0,2,1,1,0
33,4990,3,7,0,2,1,2,0
34,4990,3,7,0,2,1,2,0
35,4990,3,7,0,2,1,2,0
36,4988,5,7,0,2,3,2,0
37,4988,5,7,0,2,3,2,0
38,4988,5,7,0,3,3,2,0
39,4988,5,7,0,3,3,2,0
40,4988,5,7,0,3,3,2,0
41,4988,3,9,0,3,2,1,0
42,4988,3,9,0,3,2,1,0
43,4988,3,9,0,3,2,1,0
44,4988,3,9,0,3,2,1,0
45,4988,3,9,0,3,2,1,0
46,4988,3,9,0,3,2,1,0
47,4988,3,9,0,3,2,1,0
48,4988,2,10,0,2,2,0,0
49,4988,2,10,0,2,2,0,0
50,4988,2,10,0,2,2,0,0
51,4988,2,10,0,2,2,0,0
52,4988,0,12,0,0,0,0,0
53,4988,0,12,0,0,0,0,0
54,4988,0,12,0,0,0,0,0
55,4988,0,12,0,0,0,0,0
56,4988,0,12,0,0,0,0,0
57,4988,0,12,0,0,0,0,0
58,4987,1,12,0,0,1,0,0
59,4986,2,12,0,0,2,0,0
60,4986,2,12,0,0,2,0,0
61,4985,3,12,0,0,3,0,0
62,4984,4,12,0,0,4,0,0
63,4983,5,12,0,1,5,0,0
64,4983,5,12,0,2,5,0,0
65,4983,5,12,0,2,5,0,0
66,4983,5,12,0,3,5,0,0
67,4983,5,12,0,4,5,0,0
68,4983,5,12,0,5,5,0,0
69,4983,5,12,0,5,5,0,0
70,4983,5,12,0,5,5,0,0
71,4983,5,12,0,5,5,0,0
72,4983,4,13,0,4,4,0,0
73,4983,3,14,0,3,3,0,0
74,4983,0,17,0,0,0,0,0
75,4983,0,17,0,0,0,0,0
76,4983,0,17,0,0,0,0,0
77,4983,0,17,0,0,0,0,0
78,4983,0,17,0,0,0,0,0
79,4983,0,17,0,0,0,0,0
80,4983,0,17,0,0,0,0,0
81,4983,0,17,0,0,0,0,0
82,4982,1,17,0,0,1,0,0
83,4982,1,17,0,0,1,0,0
84,4982,1,17,0,0,1,0,0
85,4981,2,17,0,0,2,0,0
86,4981,2,17,0,0,2,0,0
87,4981,2,17,0,1,2,0,0
88,4981,2,17,0,1,2,0,0
89,4981,2,17,0,1,2,0,0
90,4981,2,17,0,2,2,0,0
91,4981,2,17,0,2,2,0,0
92,4981,2,17,0,2,2,0,0
93,4981,2,17,0,2,2,0,0
94,4981,2,17,0,2,2,0,0
95,4980,3,17,0,2,3,0,0
96,4980,2,18,0,1,2,0,0
97,4980,2,18,0,1,2,0,0
98,4980,2,18,0,1,2,0,0
99,4980,2,18,0,1,2,0,0
100,4980,1,19,0,1,1,0,0
101,4980,1,19,0,1,1,0,0
102,4980,1,19,0,1,1,0,0
103,4980,1,19,0,1,1,0,0
104,4980,1,19,0,1,1,0,0
105,4980,1,19,0,1,1,0,0
106,4980,1,19,0,1,1,0,0
107,4980,1,19,0,1,1,0,0
108,4980,1,19,0,1,1,0,0
109,4980,1,19,0,1,1,0,0
110,4980,0,20,0,0,0,0,0
